année,num_mois,date_decimale,Moyenne_mois,Moyenne_interpolee,Tendance,nb_jours_mois
2008,1,2008.042,385.44,385.44,385.26,31
2008,2,2008.125,385.73,385.73,384.91,28
2008,3,2008.208,385.97,385.97,384.40,30
2008,4,2008.292,387.16,387.16,384.50,28
2008,5,2008.375,388.50,388.50,385.38,26
2008,6,2008.458,387.88,387.88,385.56,24
2008,7,2008.542,386.42,386.42,385.87,10
2008,8,2008.625,384.15,384.15,385.82,28
2008,9,2008.708,383.09,383.09,386.34,30
2008,10,2008.792,382.99,382.99,386.26,24
2008,11,2008.875,384.13,384.13,386.32,29
2008,12,2008.958,385.56,385.56,386.43,30
2009,1,2009.042,386.94,386.94,386.66,31
2009,2,2009.125,387.42,387.42,386.61,28
2009,3,2009.208,388.77,388.77,387.30,30
2009,4,2009.292,389.44,389.44,386.78,28
2009,5,2009.375,390.19,390.19,387.02,31
2009,6,2009.458,389.45,389.45,387.17,29
2009,7,2009.542,387.78,387.78,387.31,30
2009,8,2009.625,385.92,385.92,387.62,30
2009,9,2009.708,384.79,384.79,388.03,27
2009,10,2009.792,384.39,384.39,387.63,31
2009,11,2009.875,386.00,386.00,388.16,30
2009,12,2009.958,387.31,387.31,388.13,21
2010,1,2010.042,388.50,388.50,388.21,28
2010,2,2010.125,389.94,389.94,389.05,25
2010,3,2010.208,391.09,391.09,389.59,28
2010,4,2010.292,392.52,392.52,389.85,28
2010,5,2010.375,393.04,393.04,389.81,30
2010,6,2010.458,392.15,392.15,389.86,29
2010,7,2010.542,390.22,390.22,389.75,31
2010,8,2010.625,388.26,388.26,389.95,31
2010,9,2010.708,386.83,386.83,390.14,30
2010,10,2010.792,387.20,387.20,390.51,31
2010,11,2010.875,388.65,388.65,390.84,30
2010,12,2010.958,389.73,389.73,390.59,31
2011,1,2011.042,391.25,391.25,390.95,29
2011,2,2011.125,391.82,391.82,390.92,28
2011,3,2011.208,392.49,392.49,390.99,30
2011,4,2011.292,393.34,393.34,390.67,28
2011,5,2011.375,394.21,394.21,390.98,31
2011,6,2011.458,393.72,393.72,391.42,28
2011,7,2011.542,392.42,392.42,391.95,31
2011,8,2011.625,390.19,390.19,391.87,29
2011,9,2011.708,389.04,389.04,392.35,28
2011,10,2011.792,388.96,388.96,392.27,31
2011,11,2011.875,390.24,390.24,392.43,29
2011,12,2011.958,391.83,391.83,392.69,30
2012,1,2012.042,393.12,393.12,392.83,30
2012,2,2012.125,393.60,393.60,392.70,27
2012,3,2012.208,394.45,394.45,392.95,31
2012,4,2012.292,396.18,396.18,393.51,30
2012,5,2012.375,396.78,396.78,393.55,31
2012,6,2012.458,395.83,395.83,393.53,28
2012,7,2012.542,394.30,394.30,393.82,29
2012,8,2012.625,392.41,392.41,394.10,31
2012,9,2012.708,391.06,391.06,394.36,29
2012,10,2012.792,391.01,391.01,394.32,30
2012,11,2012.875,392.81,392.81,395.00,29
2012,12,2012.958,394.28,394.28,395.14,30
2013,1,2013.042,395.51,395.51,395.21,31
2013,2,2013.125,396.79,396.79,395.89,27
2013,3,2013.208,397.31,397.31,395.82,30
2013,4,2013.292,398.40,398.40,395.73,27
2013,5,2013.375,399.73,399.73,396.50,31
2013,6,2013.458,398.58,398.58,396.29,27
